"channel","marker"
"FSC-A","FSC-A"
"FSC-H","FSC-H"
"FSC-W","FSC-W"
"SSC-A","SSC-A"
"SSC-B-A","SSC-B-A"
"SSC-B-H","SSC-B-H"
"SSC-B-W","SSC-B-W"
"SSC-H","SSC-H"
"SSC-W","SSC-W"
"FJComp-7AAD-A","7AAD"
"FJComp-APC-A","PDL2"
"FJComp-APC-Fire 750-A","B220"
"FJComp-Alexa Fluor 488-A","CD8_IgD"
"FJComp-Alexa Fluor 532-A","CD45"
"FJComp-Alexa Fluor 647-A","CD3"
"FJComp-Alexa Fluor 700-A","CD4"
"FJComp-BUV737-A","ivCD45_2"
"FJComp-BV421-A","GL7_biotin"
"FJComp-BV510-A","PD1"
"FJComp-BV570-A","CD44"
"FJComp-BV605-A","CD19"
"FJComp-BV650-A","CD62L"
"FJComp-BV750-A","CD43"
"FJComp-BV786-A","CD11a"
"FJComp-PE-A","CD69"
"FJComp-PE-Cy5.5-A","CD25"
"FJComp-PE-Vio770-A","CD73"
"FJComp-PE-eFluor 610-A","CXCR5"
"FJComp-PerCP-eFluor 710-A","CD38"
"FJComp-eFluor 450-A","IgM"
"Time","Time"
"pca_1","pca_1"
"pca_2","pca_2"
"optsne_1-2","optsne_1-2"
"optsne_2-2","optsne_2-2"
"pgraph-1","pgraph-1"
